Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,casa_forma_punti,casa_forma_media_punti,casa_forma_gol_fatti,casa_forma_gol_subiti,casa_forma_media_gol_fatti,casa_forma_media_gol_subiti,casa_home_punti,casa_home_media_punti,casa_home_gol_fatti,casa_home_gol_subiti,casa_home_media_gol_fatti,casa_home_media_gol_subiti,trasferta_forma_punti,trasferta_forma_media_punti,trasferta_forma_gol_fatti,trasferta_forma_gol_subiti,trasferta_forma_media_gol_fatti,trasferta_forma_media_gol_subiti,trasferta_away_punti,trasferta_away_media_punti,trasferta_away_gol_fatti,trasferta_away_gol_subiti,trasferta_away_media_gol_fatti,trasferta_away_media_gol_subiti,h2h_vittorie_casa,h2h_vittorie_trasferta,h2h_pareggi,h2h_partite,differenza_forma_punti,differenza_attacco,differenza_difesa,casa_home_vs_trasferta_away_punti
2020-12-16,Spezia,Bologna,2,2,D,5,1.0,7,8,1.4,1.6,2,0.4,5,12,1.0,2.4,6,1.2,5,10,1.0,2.0,3,0.6,4,9,0.8,1.8,0,0,0,0,-0.19999999999999996,-0.6000000000000001,-0.6000000000000001,-0.19999999999999996
2020-12-16,Verona,Sampdoria,1,2,A,8,1.6,7,6,1.4,1.2,9,1.5,5,4,0.8333333333333334,0.6666666666666666,1,0.2,5,10,1.0,2.0,7,1.1666666666666667,8,11,1.3333333333333333,1.8333333333333333,0,0,0,0,1.4000000000000001,-0.6000000000000001,-0.19999999999999996,0.33333333333333326
2020-12-17,Roma,Torino,3,1,H,10,2.0,11,6,2.2,1.2,11,2.2,12,4,2.4,0.8,2,0.4,7,11,1.4,2.2,4,0.8,8,11,1.6,2.2,0,0,0,0,1.6,0.0,0.19999999999999996,1.4000000000000001
2020-12-19,Fiorentina,Verona,1,1,D,2,0.4,2,8,0.4,1.6,8,1.3333333333333333,7,7,1.1666666666666667,1.1666666666666667,7,1.4,6,6,1.2,1.2,8,1.6,7,5,1.4,1.0,0,0,0,0,-0.9999999999999999,-0.7999999999999999,-0.40000000000000013,-0.26666666666666683
2020-12-19,Sampdoria,Crotone,3,1,H,4,0.8,7,9,1.4,1.8,4,0.8,8,8,1.6,1.6,4,0.8,4,8,0.8,1.6,2,0.3333333333333333,4,13,0.6666666666666666,2.1666666666666665,0,0,0,0,0.0,-0.20000000000000018,-1.0,0.46666666666666673
2020-12-19,Parma,Juventus,0,4,A,6,1.2,4,6,0.8,1.2,7,1.1666666666666667,3,4,0.5,0.6666666666666666,11,2.2,9,4,1.8,0.8,10,1.6666666666666667,12,7,2.0,1.1666666666666667,0,0,0,0,-1.0000000000000002,0.0,0.6000000000000001,-0.5
2020-12-20,Sassuolo,Milan,1,2,A,8,1.6,4,4,0.8,0.8,9,1.5,9,8,1.5,1.3333333333333333,11,2.2,11,6,2.2,1.2,16,2.6666666666666665,13,6,2.1666666666666665,1.0,0,0,0,0,-0.6000000000000001,-0.3999999999999999,1.4000000000000001,-1.1666666666666665
2020-12-20,Lazio,Napoli,2,0,H,7,1.4,7,7,1.4,1.4,5,0.8333333333333334,7,12,1.1666666666666667,2.0,9,1.8,11,5,2.2,1.0,12,2.4,9,2,1.8,0.4,0,0,0,0,-0.40000000000000013,0.3999999999999999,0.8000000000000003,-1.5666666666666664
2020-12-20,Inter,Spezia,2,1,H,15,3.0,14,4,2.8,0.8,13,2.1666666666666665,15,10,2.5,1.6666666666666667,3,0.6,6,10,1.2,2.0,8,1.3333333333333333,10,11,1.6666666666666667,1.8333333333333333,0,0,0,0,2.4,0.7999999999999998,0.3999999999999999,0.8333333333333333
2020-12-20,Atalanta,Roma,4,1,H,6,1.2,5,4,1.0,0.8,7,1.4,10,8,2.0,1.6,10,2.0,11,6,2.2,1.2,11,1.8333333333333333,12,9,2.0,1.5,0,0,0,0,-0.8,-0.19999999999999996,1.4000000000000001,-0.43333333333333335
