Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2025-12-01,Bologna vs Cremonese,Bologna,Cremonese,A,H,False,0.466,0.368,0.166,0.466,0.466,2572
2025-12-06,Sassuolo vs Fiorentina,Sassuolo,Fiorentina,H,H,True,0.43,0.363,0.207,0.43,0.43,2573
2025-12-06,Verona vs Atalanta,Verona,Atalanta,H,D,False,0.281,0.377,0.342,0.377,0.377,2573
2025-12-06,Inter vs Como,Inter,Como,H,H,True,0.483,0.322,0.195,0.483,0.483,2573
2025-12-07,Cremonese vs Lecce,Cremonese,Lecce,H,D,False,0.374,0.389,0.238,0.389,0.389,2576
2025-12-07,Cagliari vs Roma,Cagliari,Roma,H,A,False,0.346,0.307,0.347,0.347,0.347,2576
2025-12-07,Lazio vs Bologna,Lazio,Bologna,D,H,False,0.497,0.352,0.15,0.497,0.497,2576
2025-12-07,Napoli vs Juventus,Napoli,Juventus,H,H,True,0.535,0.315,0.149,0.535,0.535,2576
2025-12-08,Pisa vs Parma,Pisa,Parma,A,H,False,0.477,0.326,0.197,0.477,0.477,2580
2025-12-08,Udinese vs Genoa,Udinese,Genoa,A,D,False,0.401,0.419,0.18,0.419,0.419,2580
2025-12-08,Torino vs Milan,Torino,Milan,A,D,False,0.329,0.337,0.335,0.337,0.337,2580
2025-12-12,Lecce vs Pisa,Lecce,Pisa,H,D,False,0.342,0.509,0.149,0.509,0.509,2583
2025-12-13,Parma vs Lazio,Parma,Lazio,A,D,False,0.339,0.341,0.32,0.341,0.341,2584
2025-12-13,Atalanta vs Cagliari,Atalanta,Cagliari,H,H,True,0.509,0.346,0.146,0.509,0.509,2584
2025-12-13,Torino vs Cremonese,Torino,Cremonese,H,D,False,0.376,0.376,0.248,0.376,0.376,2584
2025-12-14,Milan vs Sassuolo,Milan,Sassuolo,D,H,False,0.566,0.285,0.148,0.566,0.566,2587
2025-12-14,Fiorentina vs Verona,Fiorentina,Verona,A,H,False,0.477,0.375,0.148,0.477,0.477,2587
2025-12-14,Udinese vs Napoli,Udinese,Napoli,H,A,False,0.301,0.322,0.377,0.377,0.377,2587
2025-12-14,Genoa vs Inter,Genoa,Inter,A,A,True,0.269,0.32,0.411,0.411,0.411,2587
2025-12-14,Bologna vs Juventus,Bologna,Juventus,A,H,False,0.436,0.358,0.207,0.436,0.436,2587
2025-12-15,Roma vs Como,Roma,Como,H,H,True,0.503,0.315,0.182,0.503,0.503,2592
2025-12-20,Lazio vs Cremonese,Lazio,Cremonese,D,H,False,0.45,0.355,0.196,0.45,0.45,2593
2025-12-20,Juventus vs Roma,Juventus,Roma,H,H,True,0.529,0.299,0.172,0.529,0.529,2593
2025-12-21,Fiorentina vs Udinese,Fiorentina,Udinese,H,H,True,0.444,0.346,0.21,0.444,0.444,2595
2025-12-21,Genoa vs Atalanta,Genoa,Atalanta,A,D,False,0.295,0.355,0.351,0.355,0.355,2595
2025-12-21,Sassuolo vs Torino,Sassuolo,Torino,A,H,False,0.481,0.36,0.159,0.481,0.481,2595
2025-12-21,Cagliari vs Pisa,Cagliari,Pisa,D,D,True,0.418,0.419,0.162,0.419,0.419,2595
2025-12-27,Pisa vs Juventus,Pisa,Juventus,A,H,False,0.347,0.31,0.342,0.347,0.347,2599
2025-12-27,Parma vs Fiorentina,Parma,Fiorentina,H,D,False,0.389,0.396,0.216,0.396,0.396,2599
2025-12-27,Lecce vs Como,Lecce,Como,A,D,False,0.355,0.395,0.25,0.395,0.395,2599
2025-12-27,Torino vs Cagliari,Torino,Cagliari,A,H,False,0.479,0.373,0.148,0.479,0.479,2599
2025-12-27,Udinese vs Lazio,Udinese,Lazio,D,H,False,0.374,0.324,0.302,0.374,0.374,2599
2025-12-28,Atalanta vs Inter,Atalanta,Inter,A,H,False,0.379,0.295,0.326,0.379,0.379,2604
2025-12-28,Milan vs Verona,Milan,Verona,H,H,True,0.572,0.285,0.143,0.572,0.572,2604
2025-12-28,Cremonese vs Napoli,Cremonese,Napoli,A,A,True,0.324,0.326,0.35,0.35,0.35,2604
2025-12-28,Bologna vs Sassuolo,Bologna,Sassuolo,D,H,False,0.458,0.355,0.187,0.458,0.458,2604
2025-12-29,Roma vs Genoa,Roma,Genoa,H,H,True,0.578,0.278,0.144,0.578,0.578,2608
2026-01-02,Cagliari vs Milan,Cagliari,Milan,A,A,True,0.313,0.326,0.36,0.36,0.36,2609
2026-01-03,Sassuolo vs Parma,Sassuolo,Parma,D,H,False,0.429,0.353,0.217,0.429,0.429,2610
2026-01-03,Como vs Udinese,Como,Udinese,H,H,True,0.483,0.332,0.185,0.483,0.483,2610
2026-01-03,Atalanta vs Roma,Atalanta,Roma,H,H,True,0.451,0.293,0.256,0.451,0.451,2610
2026-01-03,Genoa vs Pisa,Genoa,Pisa,D,D,True,0.332,0.492,0.176,0.492,0.492,2610
2026-01-03,Juventus vs Lecce,Juventus,Lecce,D,H,False,0.547,0.308,0.145,0.547,0.547,2610
2026-01-04,Inter vs Bologna,Inter,Bologna,H,H,True,0.588,0.269,0.143,0.588,0.588,2615
2026-01-04,Verona vs Torino,Verona,Torino,A,D,False,0.385,0.41,0.205,0.41,0.41,2615
2026-01-04,Fiorentina vs Cremonese,Fiorentina,Cremonese,H,H,True,0.394,0.37,0.236,0.394,0.394,2615
2026-01-04,Lazio vs Napoli,Lazio,Napoli,A,H,False,0.419,0.316,0.265,0.419,0.419,2615
2026-01-06,Sassuolo vs Juventus,Sassuolo,Juventus,A,H,False,0.348,0.33,0.322,0.348,0.348,2619
2026-01-06,Pisa vs Como,Pisa,Como,A,H,False,0.367,0.344,0.288,0.367,0.367,2619
2026-01-06,Lecce vs Roma,Lecce,Roma,A,H,False,0.364,0.324,0.312,0.364,0.364,2619
2026-01-07,Parma vs Inter,Parma,Inter,A,A,True,0.257,0.303,0.44,0.44,0.44,2622
2026-01-07,Torino vs Udinese,Torino,Udinese,A,H,False,0.463,0.322,0.214,0.463,0.463,2622
2026-01-07,Lazio vs Fiorentina,Lazio,Fiorentina,D,H,False,0.522,0.332,0.146,0.522,0.522,2622
2026-01-07,Bologna vs Atalanta,Bologna,Atalanta,A,H,False,0.393,0.341,0.266,0.393,0.393,2622
2026-01-07,Napoli vs Verona,Napoli,Verona,D,H,False,0.583,0.276,0.141,0.583,0.583,2622
2026-01-08,Milan vs Genoa,Milan,Genoa,D,H,False,0.563,0.294,0.143,0.563,0.563,2627
2026-01-08,Cremonese vs Cagliari,Cremonese,Cagliari,D,H,False,0.415,0.391,0.194,0.415,0.415,2627
2026-01-10,Roma vs Sassuolo,Roma,Sassuolo,H,H,True,0.572,0.281,0.147,0.572,0.572,2629
2026-01-10,Atalanta vs Torino,Atalanta,Torino,H,H,True,0.505,0.341,0.155,0.505,0.505,2629
2026-01-10,Como vs Bologna,Como,Bologna,D,H,False,0.46,0.358,0.182,0.46,0.46,2629
2026-01-10,Udinese vs Pisa,Udinese,Pisa,D,D,True,0.365,0.485,0.15,0.485,0.485,2629
2026-01-11,Lecce vs Parma,Lecce,Parma,A,H,False,0.383,0.383,0.234,0.383,0.383,2633
2026-01-11,Fiorentina vs Milan,Fiorentina,Milan,D,H,False,0.348,0.32,0.332,0.348,0.348,2633
2026-01-11,Verona vs Lazio,Verona,Lazio,A,D,False,0.34,0.366,0.294,0.366,0.366,2633
2026-01-11,Inter vs Napoli,Inter,Napoli,D,H,False,0.534,0.244,0.222,0.534,0.534,2633
2026-01-12,Genoa vs Cagliari,Genoa,Cagliari,H,D,False,0.378,0.433,0.189,0.433,0.433,2637
2026-01-12,Juventus vs Cremonese,Juventus,Cremonese,H,H,True,0.501,0.349,0.15,0.501,0.501,2637
2026-01-14,Inter vs Lecce,Inter,Lecce,H,H,True,0.581,0.274,0.145,0.581,0.581,2639
2026-01-14,Napoli vs Parma,Napoli,Parma,D,H,False,0.525,0.326,0.149,0.525,0.525,2639
2026-01-15,Verona vs Bologna,Verona,Bologna,A,D,False,0.366,0.4,0.234,0.4,0.4,2641
2026-01-15,Como vs Milan,Como,Milan,A,D,False,0.334,0.368,0.298,0.368,0.368,2641
2026-01-16,Pisa vs Atalanta,Pisa,Atalanta,D,A,False,0.29,0.304,0.405,0.405,0.405,2643
2026-01-17,Udinese vs Inter,Udinese,Inter,A,A,True,0.281,0.312,0.407,0.407,0.407,2644
2026-01-17,Napoli vs Sassuolo,Napoli,Sassuolo,H,H,True,0.526,0.327,0.148,0.526,0.526,2644
2026-01-17,Cagliari vs Juventus,Cagliari,Juventus,H,H,True,0.343,0.331,0.326,0.343,0.343,2644
2026-01-18,Milan vs Lecce,Milan,Lecce,H,H,True,0.545,0.306,0.148,0.545,0.545,2647
2026-01-18,Bologna vs Fiorentina,Bologna,Fiorentina,A,H,False,0.471,0.377,0.151,0.471,0.471,2647
2026-01-18,Parma vs Genoa,Parma,Genoa,D,H,False,0.396,0.39,0.214,0.396,0.396,2647
2026-01-18,Torino vs Roma,Torino,Roma,A,H,False,0.388,0.292,0.319,0.388,0.388,2647
2026-01-19,Lazio vs Como,Lazio,Como,A,H,False,0.41,0.368,0.223,0.41,0.41,2651
2026-01-19,Cremonese vs Verona,Cremonese,Verona,D,D,True,0.398,0.405,0.198,0.405,0.405,2651
