date,match,won,odds,prob,ev,stake,profit,bankroll,cumsum,peak,dd
2024-12-16,Lazio vs Inter,False,3.4,0.387,31.58000000000001,62.13456096815116,-62.13456096815116,1180.556658394872,180.55665839487187,1621.7766198585978,-1441.219961463726
2024-12-22,Venezia vs Cagliari,False,3.3,0.387,27.70999999999999,59.02783291974361,-59.02783291974361,1121.5288254751285,121.52882547512826,1621.7766198585978,-1500.2477943834695
2024-12-22,Monza vs Juventus,False,3.5,0.387,35.45,56.07644127375643,-56.07644127375643,1065.452384201372,65.45238420137183,1621.7766198585978,-1556.324235657226
2024-12-28,Lazio vs Atalanta,True,3.3,0.387,27.70999999999999,53.272619210068605,122.52702418315778,1187.97940838453,187.97940838452962,1621.7766198585978,-1433.7972114740683
2024-12-28,Parma vs Monza,False,3.5,0.387,35.45,59.3989704192265,-59.3989704192265,1128.5804379653034,128.58043796530313,1621.7766198585978,-1493.1961818932946
2024-12-29,Juventus vs Fiorentina,True,3.3,0.387,27.70999999999999,56.42902189826518,129.7867503660099,1258.3671883313134,258.36718833131306,1621.7766198585978,-1363.4094315272846
2024-12-29,Milan vs Roma,True,3.4,0.387,31.58000000000001,62.91835941656567,151.00406259975762,1409.371250931071,409.3712509310707,1621.7766198585978,-1212.405368927527
2025-01-04,Fiorentina vs Napoli,False,3.25,0.387,25.775000000000013,70.46856254655356,-70.46856254655356,1338.9026883845174,338.9026883845171,1621.7766198585978,-1282.8739314740806
2025-01-05,Torino vs Parma,True,3.4,0.387,31.58000000000001,66.94513441922588,160.6683226061421,1499.5710109906595,499.5710109906592,1621.7766198585978,-1122.2056088679385
2025-01-05,Monza vs Cagliari,False,3.25,0.387,25.775000000000013,74.97855054953298,-74.97855054953298,1424.5924604411266,424.5924604411262,1621.7766198585978,-1197.1841594174716
2025-01-10,Lazio vs Como,True,3.4,0.387,31.58000000000001,71.22962302205633,170.95109525293518,1595.5435556940618,595.5435556940614,1621.7766198585978,-1026.2330641645362
2025-01-12,Genoa vs Parma,False,3.5,0.387,35.45,79.7771777847031,-79.7771777847031,1515.7663779093587,515.7663779093583,1621.7766198585978,-1106.0102419492396
2025-01-13,Monza vs Fiorentina,False,3.5,0.387,35.45,75.78831889546794,-75.78831889546794,1439.9780590138907,439.9780590138904,1621.7766198585978,-1181.7985608447075
2025-01-14,Como vs Milan,False,3.5,0.387,35.45,71.99890295069454,-71.99890295069454,1367.9791560631961,367.9791560631959,1621.7766198585978,-1253.7974637954019
2025-01-14,Atalanta vs Juventus,True,3.25,0.387,25.775000000000013,68.3989578031598,153.89765505710955,1521.8768111203058,521.8768111203054,1621.7766198585978,-1099.8998087382924
2025-01-18,Juventus vs Milan,False,3.3,0.387,27.70999999999999,76.0938405560153,-76.0938405560153,1445.7829705642905,445.78297056429017,1621.7766198585978,-1175.9936492943075
