data,casa,trasferta,risultato_reale,predizione,prob_h,prob_d,prob_a,confidenza,corretto
2024-11-24,Genoa,Cagliari,D,H,0.428,0.365,0.207,0.428,False
2024-11-25,Empoli,Udinese,D,H,0.403,0.349,0.248,0.403,False
2024-11-25,Venezia,Lecce,A,D,0.315,0.408,0.278,0.408,False
2024-11-29,Cagliari,Verona,H,D,0.409,0.441,0.15,0.441,False
2024-11-30,Milan,Empoli,H,H,0.557,0.298,0.145,0.557,True
2024-11-30,Bologna,Venezia,H,H,0.463,0.384,0.154,0.463,True
2024-11-30,Como,Monza,D,H,0.45,0.38,0.17,0.45,False
2024-12-01,Lecce,Juventus,D,D,0.313,0.39,0.296,0.39,True
2024-12-01,Torino,Napoli,A,D,0.324,0.342,0.334,0.342,False
2024-12-01,Udinese,Genoa,A,D,0.36,0.478,0.162,0.478,False
2024-12-01,Parma,Lazio,H,D,0.332,0.349,0.319,0.349,False
2024-12-02,Roma,Atalanta,A,H,0.5,0.293,0.208,0.5,False
2024-12-06,Inter,Parma,H,H,0.571,0.285,0.144,0.571,True
2024-12-06,Atalanta,Milan,H,H,0.414,0.321,0.266,0.414,True
2024-12-07,Genoa,Torino,D,H,0.402,0.363,0.235,0.402,False
2024-12-07,Juventus,Bologna,D,H,0.496,0.356,0.149,0.496,False
2024-12-07,Roma,Lecce,H,H,0.573,0.282,0.145,0.573,True
2024-12-08,Fiorentina,Cagliari,H,H,0.439,0.389,0.172,0.439,True
2024-12-08,Verona,Empoli,A,H,0.442,0.363,0.196,0.442,False
2024-12-08,Venezia,Como,D,D,0.269,0.403,0.329,0.403,True
2024-12-08,Napoli,Lazio,A,H,0.5,0.318,0.182,0.5,False
2024-12-09,Monza,Udinese,A,H,0.388,0.345,0.266,0.388,False
2024-12-13,Empoli,Torino,A,H,0.41,0.361,0.229,0.41,False
2024-12-14,Cagliari,Atalanta,A,D,0.284,0.379,0.336,0.379,False
2024-12-14,Udinese,Napoli,A,A,0.257,0.364,0.379,0.379,True
2024-12-14,Juventus,Venezia,D,H,0.534,0.322,0.144,0.534,False
2024-12-15,Milan,Genoa,D,H,0.542,0.318,0.139,0.542,False
2024-12-15,Lecce,Monza,H,D,0.325,0.403,0.271,0.403,False
2024-12-15,Bologna,Fiorentina,H,H,0.467,0.388,0.146,0.467,True
2024-12-15,Parma,Verona,A,H,0.422,0.397,0.181,0.422,False
2024-12-15,Como,Roma,H,H,0.392,0.362,0.246,0.392,True
2024-12-16,Lazio,Inter,A,H,0.44,0.234,0.326,0.44,False
2024-12-20,Verona,Milan,A,A,0.321,0.332,0.347,0.347,True
2024-12-21,Torino,Bologna,A,D,0.38,0.388,0.233,0.388,False
2024-12-21,Genoa,Napoli,A,A,0.306,0.322,0.372,0.372,True
2024-12-21,Lecce,Lazio,A,D,0.321,0.369,0.31,0.369,False
2024-12-22,Atalanta,Empoli,H,H,0.526,0.325,0.148,0.526,True
2024-12-22,Monza,Juventus,A,D,0.345,0.37,0.285,0.37,False
2024-12-22,Venezia,Cagliari,H,D,0.317,0.404,0.278,0.404,False
2024-12-22,Roma,Parma,H,H,0.59,0.267,0.143,0.59,True
2024-12-23,Inter,Como,H,H,0.496,0.332,0.172,0.496,True
2024-12-23,Fiorentina,Udinese,A,H,0.417,0.374,0.208,0.417,False
2024-12-28,Cagliari,Inter,A,A,0.238,0.317,0.445,0.445,True
2024-12-28,Lazio,Atalanta,D,H,0.501,0.281,0.217,0.501,False
2024-12-28,Empoli,Genoa,A,H,0.444,0.407,0.149,0.444,False
2024-12-28,Parma,Monza,H,D,0.337,0.384,0.279,0.384,False
2024-12-29,Udinese,Torino,D,D,0.337,0.419,0.245,0.419,True
2024-12-29,Napoli,Venezia,H,H,0.545,0.308,0.146,0.545,True
2024-12-29,Juventus,Fiorentina,D,H,0.531,0.329,0.139,0.531,False
2024-12-29,Milan,Roma,D,H,0.481,0.308,0.211,0.481,False
2024-12-30,Como,Lecce,H,H,0.491,0.36,0.149,0.491,True
2024-12-30,Bologna,Verona,A,H,0.471,0.385,0.144,0.471,False
2025-01-04,Fiorentina,Napoli,A,D,0.33,0.352,0.318,0.352,False
2025-01-04,Venezia,Empoli,D,D,0.324,0.405,0.271,0.405,True
2025-01-04,Verona,Udinese,D,H,0.414,0.347,0.239,0.414,False
2025-01-05,Roma,Lazio,H,H,0.557,0.287,0.156,0.557,True
2025-01-05,Torino,Parma,D,H,0.435,0.385,0.18,0.435,False
2025-01-05,Lecce,Genoa,D,D,0.395,0.438,0.167,0.438,True
2025-01-05,Monza,Cagliari,A,H,0.422,0.359,0.22,0.422,False
2025-01-10,Lazio,Como,D,H,0.518,0.305,0.177,0.518,False
2025-01-11,Empoli,Lecce,A,H,0.427,0.367,0.206,0.427,False
2025-01-11,Udinese,Atalanta,D,D,0.264,0.38,0.356,0.38,True
2025-01-11,Milan,Cagliari,D,H,0.561,0.295,0.145,0.561,False
2025-01-11,Torino,Juventus,D,D,0.373,0.387,0.24,0.387,True
2025-01-12,Venezia,Inter,A,A,0.174,0.287,0.539,0.539,True
2025-01-12,Bologna,Roma,D,H,0.374,0.362,0.263,0.374,False
2025-01-12,Napoli,Verona,H,H,0.546,0.314,0.141,0.546,True
2025-01-12,Genoa,Parma,H,H,0.428,0.369,0.203,0.428,True
2025-01-13,Monza,Fiorentina,H,H,0.429,0.387,0.184,0.429,True
